"County","state","mortality_rate","number_death","cancer_incidence","number_cases","population_2015","age","income","poverty","high_unemployment","medicare","white","black","asian","group","paired1","paired2"
"Fulton County, Pennsylvania","Pennsylvania",177.5,34,458.9,88,14629,43.2,48084,13.3,1,17.9,97.01238601,1.429154757,0.142915476,1,34.6508488757536,22.9388211458557
"Liberty County, Georgia","Georgia",170.3,65,425.5,185,62467,27.6,41682,17.2,1,14.9,48.08232573,40.49389231,2.211805609,2,41.2547077052295,71.9699873105304
"Gallatin County, Illinois","Illinois",213.6,18,492.5,41,5265,45.1,41045,17.5,1,27.5,96.86165274,0.389972145,0.464252553,3,65.4068746138364,23.7570265043064
"Skamania County, Washington","Washington",188.3,26,398.9,55,11339,45.2,52673,12.6,1,20.5,93.41812683,0.844970204,0.978386552,2,6.26667940523475,69.6184107578736
"Wexford County, Michigan","Michigan",199.2,84,528.4,212,33003,41.7,39807,19,1,21.7,96.22606943,0.644255137,0.625935086,1,87.1808791067451,127.349709053758
"Pepin County, Wisconsin","Wisconsin",163.1,18,387.6,39,7290,45.2,53828,12.1,0,15.7,98.11448725,0.352685838,0.244167119,2,27.1685167681426,36.094097294597
"Swisher County, Texas","Texas",133.2,15,374.1,37,7533,36.1,37527,20.9,1,25.3,83.76766498,6.365875794,0.350058343,3,61.0930982045829,56.8343090079594
"Ellis County, Oklahoma","Oklahoma",186.6,12,415.5,24,4231,44.3,52032,12,1,18,94.34603252,0.024265955,0.509585052,2,91.4301888085902,71.9327559122514
"Gosper County, Nebraska","Nebraska",187.4,6,445.3,14,1973,46.7,55319,9.1,1,10.7,97.01417004,0,0,2,84.1809525620192,25.1842133189204
"Shelby County, Ohio","Ohio",167.3,92,405,217,48901,38.9,50774,10.7,1,14,94.51362423,2.604601871,0.71942446,1,19.0223839366809,-94.2535660602461
"Kewaunee County, Wisconsin","Wisconsin",126.7,37,422,112,20366,43.5,56160,8.9,0,13.9,97.10491627,0.31245423,0.390567788,2,78.0698421876878,85.1696934688951
"Anne Arundel County, Maryland","Maryland",176,977,468.1,2676,564195,38.4,86654,6.7,1,10.9,74.72536378,15.87127215,3.57153148,2,96.9471060903743,99.7732181327309
"Rock County, Nebraska","Nebraska",187.3,4,502.1,11,1381,52,46051,15,0,11.4,95.64596717,0.713775874,0.214132762,1,84.0566270519048,172.047797847127
"McDuffie County, Georgia","Georgia",219.5,53,467.6,116,21540,38.2,37413,27.6,1,21.3,56.31081457,41.81262163,0.05560189,1,56.3889607321471,16.3945091994672
"Cumberland County, North Carolina","North Carolina",186.1,501,450.8,1248,323838,31.1,42582,17.6,1,19.2,51.90987144,36.21777987,2.405707895,2,13.7773346621543,45.7372015618359
"Ventura County, California","California",146.1,1234,432.7,3629,850536,37.1,74967,11.5,1,17.1,78.82112144,1.791437777,7.077267424,2,11.7247632239014,25.9588580736221
"Boone County, Indiana","Indiana",187.2,110,429.3,254,63344,38.8,68352,7.2,0,8.9,94.44894317,1.239444068,2.26074598,1,9.25015569664538,-1.72055444156552
"Camden County, Missouri","Missouri",152.7,107,399.4,279,44237,49.8,44410,17.5,1,19.7,96.46914199,0.507660437,0.703439798,3,62.5582441221923,110.858544539029
"Greene County, Missouri","Missouri",173.6,552,434.6,1333,288072,35.6,40386,20.6,1,15.9,91.03797236,3.142235687,1.769736517,2,6.1506143771112,97.9125360018422
"Ripley County, Missouri","Missouri",236,46,455,87,13802,41.6,30019,25.1,1,28.6,96.44031451,0.235882773,0.057183703,3,99.9052034225315,162.351808105374
"Cumberland County, Kentucky","Kentucky",185.7,19,562.7,53,6759,44.8,29067,27.8,1,26.1,94.84354341,2.967533421,0.264433671,3,84.3380613951012,102.214484498088
"Bollinger County, Missouri","Missouri",190.4,31,468.7,74,12182,43.1,39033,20.1,0,23.3,97.83101327,0.242797022,0.679831661,2,43.798471102491,21.3950779181978
"Faribault County, Minnesota","Minnesota",158.9,40,453.5494221,1962.667684,14050,46.7,48163,13.5,0,18.6,97.65987351,0.358397751,0.414617006,3,64.141184440814,-6.39954888184002
"Carroll County, Maryland","Maryland",171.1,326,456.2,862,167627,42.2,84500,5.9,0,9.8,92.69248226,3.253027878,1.688922864,1,85.2508107665926,82.4252485007361
"Colleton County, South Carolina","South Carolina",211.7,105,459,225,37731,41.7,35558,23,1,29,57.7570782,38.38543311,0.036838228,1,54.2655697092414,66.4454437989891
"Perry County, Mississippi","Mississippi",202.6,28,492.4,69,12277,40.1,32459,22.6,1,24.1,77.46779355,21.31779765,0.073849184,3,41.6590205160901,-11.5572907998864
"East Baton Rouge Parish, Louisiana","Louisiana",178.8,759,487.1,2082,446753,33.2,46831,18.4,1,19,48.64130068,45.53374261,3.206278531,1,63.6049549793825,25.4774882570519
"Whiteside County, Illinois","Illinois",190.9,156,475.2,367,57079,42.7,49895,12.2,1,21.7,92.41373316,1.787049109,0.596262495,3,61.8727171560749,75.8168353039247
