Year,Quarter,Time,Receipts,Disposals,Outstanding
2012,2,1,387556,386705,318917
2012,3,2,391407,394451,315912
2012,4,3,390559,398483,307803
2013,1,4,394309,401440,301205
2013,2,5,379984,389310,291513
2013,3,6,377554,387351,281644
2013,4,7,385425,378160,288946
2014,1,8,406482,400026,295213
2014,2,9,400098,384173,312326
2014,3,10,398524,396406,314442
2014,4,11,402059,390055,326437
2015,1,12,403698,401834,328291
2015,2,13,386761,395242,323090
2015,3,14,397446,405581,314979
2015,4,15,403687,391394,327228
2016,1,16,388437,412446,304262
2016,2,17,387672,400017,291957
2016,3,18,377559,386580,282940
2016,4,19,375350,367314,291025
2017,1,20,399325,401956,288346
2017,2,21,375871,380733,283524
2017,3,22,379387,377503,285457
2017,4,23,360965,348830,297593
2018,1,24,377968,382234,293377
2018,2,25,367846,371146,287913
2018,3,26,356945,360773,284102
2018,4,27,348261,342582,289664
2019,1,28,358579,359181,289121
2019,2,29,357286,358300,288105
2019,3,30,361255,367058,282245
2019,4,31,366095,357364,299831
2020,1,32,371219,343075,327937
2020,2,33,234275,139608,422156
2020,3,34,260163,268875,412759
2020,4,35,259889,289455,383068
2021,1,36,290669,278838,394618
2021,2,37,280200,312430,362119
2021,3,38,286331,301503,346443
2021,4,39,293320,281526,357993
2022,1,40,312537,325921,344412
2022,2,41,296897,306810,334243
2022,3,42,322811,306688,350117
2022,4,43,319900,326886,343034
2023,1,44,339052,344333,337632
2023,2,45,334855,332399,340063
2023,3,46,339310,332448,346898
2023,4,47,352717,328835,370731
