area_code,area_name,total_recorded_crime,violent_crime,sexual_offences,robbery,theft_offences,criminal_damage,drug_offences,possession_of_weapon,public_order,misc_crimes
K04000001,ENGLAND AND WALES [note 3],5524986,2067168,191186,79091,1773422,515571,181810,58793,539807,118138
E92000001,ENGLAND ,5183024,1941525,179399,76372,1676335,477729,170877,56034,493101,111652
E12000001,North East,296542,111485,10144,2254,86215,38506,7188,2636,30453,7661
E23000013,Cleveland,82074,30489,2670,918,23867,10333,2474,706,8481,2136
E23000008,Durham,67739,26915,2438,228,17298,9585,1482,465,7382,1946
E23000007,Northumbria,146729,54081,5036,1108,45050,18588,3232,1465,14590,3579
E12000002,North West,766158,308799,25822,7900,198577,73345,31949,9084,92148,18534
E23000006,Cheshire,82871,36735,3678,416,18565,7035,3021,809,10655,1957
E23000002,Cumbria,36967,16052,1611,164,7598,4685,1457,520,4053,827
E23000005,Greater Manchester,361191,138103,11639,5024,100563,32016,13302,4829,46144,9571
E23000003,Lancashire,126165,52853,4534,1068,37622,14919,2645,1662,8029,2833
E23000004,Merseyside,158964,65056,4360,1228,34229,14690,11524,1264,23267,3346
E12000003,Yorkshire and The Humber,618986,248363,19852,6360,173903,60602,16314,5727,71580,16285
E23000012,Humberside,103315,41428,3509,921,27637,11362,1496,732,13596,2634
E23000009,North Yorkshire,49174,20311,2215,223,14102,5284,1388,422,4269,960
E23000011,South Yorkshire,159448,56669,4552,2045,50884,16902,4610,2112,16492,5182
E23000010,West Yorkshire,307049,129955,9576,3171,81280,27054,8820,2461,37223,7509
E12000004,East Midlands,419236,161865,16103,3832,124795,42202,13457,4927,41368,10687
E23000018,Derbyshire,90181,37258,3456,785,23899,8714,2173,945,10939,2012
E23000021,Leicestershire,103806,39808,3860,830,29204,10622,3422,877,12698,2485
E23000020,Lincolnshire,57234,23014,2488,374,17174,5923,1638,610,4504,1509
E23000022,Northamptonshire,62116,26395,2742,800,17604,5600,2140,938,4149,1748
E23000019,Nottinghamshire,105899,35390,3557,1043,36914,11343,4084,1557,9078,2933
E12000005,West Midlands region,572937,233851,19478,10573,178688,48544,12896,9669,48176,11062
E23000015,Staffordshire,91057,40829,3450,854,24515,8324,1861,944,8342,1938
E23000017,Warwickshire,40775,15120,1626,392,13790,3790,1038,675,3383,961
E23000016,West Mercia,91994,36196,3913,644,28766,8516,2143,1066,8807,1943
E23000014,West Midlands,349111,141706,10489,8683,111617,27914,7854,6984,27644,6220
E12000006,East ,466102,180863,18280,4031,146245,44646,14983,5332,40706,11016
E23000026,Bedfordshire,49399,17551,1704,541,17134,4266,1819,638,4644,1102
E23000023,Cambridgeshire,72045,25689,2622,669,24036,7165,1785,830,7382,1867
E23000028,Essex,158208,63705,5828,1548,48178,13978,5649,1800,14088,3434
E23000027,Hertfordshire,75959,26272,2474,702,30668,7379,2152,611,4223,1478
E23000024,Norfolk,62540,27270,3095,326,14333,6849,2103,842,5932,1790
E23000025,Suffolk,47951,20376,2557,245,11896,5009,1475,611,4437,1345
E12000007,London,914781,248169,24704,32325,434547,56040,40930,6290,59982,11794
E23000034,City of London,7496,1147,169,131,4438,260,576,67,523,185
E23000001,Metropolitan Police,907285,247022,24535,32194,430109,55780,40354,6223,59459,11609
E12000008,South East,734062,289155,27838,5351,220901,72076,23488,8665,70102,16486
E23000030,Hampshire,170384,69956,7054,1384,46808,15294,5793,2279,19059,2757
E23000032,Kent,171594,73757,6439,1115,46238,19813,5500,1533,11333,5866
E23000031,Surrey,74072,27918,2456,464,23116,7224,2445,668,8121,1660
E23000033,Sussex,134758,48161,5444,1041,43798,13749,3768,2420,13710,2667
E23000029,Thames Valley,183254,69363,6445,1347,60941,15996,5982,1765,17879,3536
E12000009,South West,394220,158975,17178,3746,112464,41768,9672,3704,38586,8127
E23000036,Avon and Somerset,142455,53130,5465,1952,44352,14156,2662,1008,17339,2391
E23000035,Devon and Cornwall,103279,45416,5586,625,23783,12562,3835,1531,7386,2555
E23000039,Dorset,51683,19998,2135,446,17390,5710,1026,327,4040,611
E23000037,Gloucestershire,54008,23060,2151,392,14562,4544,1088,399,6184,1628
E23000038,Wiltshire,42795,17371,1841,331,12377,4796,1061,439,3637,942
W92000004,WALES,269561,112936,9835,991,65543,29875,7826,1995,34540,6020
W15000004,Dyfed-Powys,40873,19933,1605,70,6673,4163,1979,286,5311,853
W15000002,Gwent,58662,24071,1740,315,12800,7309,1388,446,9058,1535
W15000001,North Wales,58714,27494,2468,144,12793,6594,1445,396,6041,1339
W15000003,South Wales,111312,41438,4022,462,33277,11809,3014,867,14130,2293
,British Transport Police,72401,12707,1952,1728,31544,7967,3107,764,12166,466
